Ciclo,peso_prom,peso_total,dist_prom,dist_total,corriente_prom,temp_prom,energia_consumida_prom,SOH%
3134,799.6,2505953,174.39,546527,1.77,25.91,0.32,79.99
3095,802.35,2483283,175.74,543900,1.78,25.91,0.32,79.99
3108,799.6,2485170,175.73,546181,1.77,25.88,0.32,80.0
3111,796.32,2477347,176.18,548088,1.77,25.86,0.32,80.0
3151,800.64,2522814,173.83,547754,1.78,25.88,0.31,80.0
3118,795.97,2481833,175.8,548144,1.77,25.89,0.32,80.0
3166,801.84,2538614,172.57,546346,1.78,25.92,0.31,80.0
3157,797.6,2518036,173.67,548280,1.77,25.9,0.31,80.0
3171,796.63,2526101,173.65,550659,1.77,25.87,0.31,79.99
3136,799.32,2506668,174.55,547374,1.77,25.9,0.32,79.99
3116,800.98,2495864,175.39,546526,1.78,25.91,0.32,80.0
3104,800.14,2483641,176.1,546615,1.78,25.9,0.32,79.99
3117,799.64,2492465,175.44,546849,1.77,25.92,0.32,80.0
3136,795.71,2495335,175.2,549430,1.77,25.9,0.32,80.0
3127,798.43,2496675,174.94,547022,1.77,25.93,0.32,80.0
3133,797.95,2499990,174.91,547978,1.77,25.86,0.32,80.0
3173,796.3,2526659,173.11,549284,1.77,25.9,0.31,80.0
3110,800.94,2490914,175.6,546128,1.78,25.87,0.32,80.0
3107,805.31,2502100,175.23,544444,1.79,25.91,0.32,79.99
3151,802.5,2528680,173.5,546703,1.78,25.89,0.31,80.0
3139,801.33,2515365,173.86,545755,1.78,25.86,0.32,80.0
3188,795.39,2535698,172.49,549884,1.76,25.91,0.31,79.99
3147,800.55,2519340,173.5,546005,1.77,25.88,0.32,79.99
3163,800.95,2533395,172.9,546869,1.77,25.87,0.31,80.0
3118,800.62,2496327,175.34,546703,1.78,25.86,0.32,80.0
3159,801.57,2532163,173.07,546718,1.78,25.87,0.31,79.99
3141,798.17,2507040,174.58,548344,1.77,25.85,0.32,80.0
3059,801.01,2450293,178.06,544693,1.78,25.89,0.32,80.0
3136,801.25,2512716,173.99,545647,1.78,25.85,0.32,80.0
3136,800.25,2509588,174.42,546977,1.77,25.89,0.32,80.0
3166,796.82,2522731,173.63,549725,1.77,25.88,0.31,79.99
3106,800.66,2486854,175.99,546638,1.78,25.89,0.32,79.99
3149,799.13,2516459,173.94,547738,1.77,25.88,0.31,80.0
3071,802.65,2464939,176.84,543084,1.78,25.91,0.32,80.0
3150,801.75,2525499,173.55,546687,1.78,25.9,0.31,80.0
3161,802.55,2536849,172.47,545178,1.78,25.88,0.31,80.0
3134,800.1,2507527,174.4,546570,1.77,25.91,0.32,80.0
3185,799.59,2546692,172.12,548204,1.77,25.91,0.31,80.0
3176,799.26,2538442,172.48,547789,1.77,25.88,0.31,80.0
3106,798.54,2480256,176.28,547521,1.77,25.88,0.32,79.99
3144,799.25,2512841,174.06,547232,1.77,25.89,0.32,79.99
3138,796.8,2500371,174.78,548457,1.77,25.89,0.32,80.0
3112,800.83,2492178,175.44,545966,1.78,25.92,0.32,79.99
