Ciclo,peso_prom,peso_total,dist_prom,dist_total,corriente_prom,temp_prom,energia_consumida_prom,SOH%
1066,795.37,847865,449.09,478728,2.04,26.09,0.93,80.0
1070,802.39,858556,445.88,477093,2.05,26.0,0.93,79.99
1069,796.09,851021,448.62,479571,2.04,26.0,0.93,79.98
1058,798.41,844722,450.98,477134,2.05,26.01,0.94,80.0
1044,800.8,836034,454.89,474905,2.06,26.0,0.95,79.99
1048,798.23,836541,454.55,476364,2.05,26.06,0.94,79.99
1055,803.7,847905,449.71,474447,2.06,26.1,0.94,79.98
1055,799.89,843882,451.06,475863,2.05,26.03,0.94,80.0
1057,799.51,845084,450.88,476575,2.05,26.0,0.94,79.98
1059,796.53,843527,451.8,478451,2.04,26.01,0.94,79.99
1060,802.22,850354,449.18,476134,2.05,25.95,0.93,79.99
1064,799.81,850995,448.15,476836,2.05,26.04,0.93,79.99
1066,799.38,852142,447.83,477385,2.05,25.99,0.93,79.99
1064,795.65,846575,449.75,478531,2.04,26.01,0.93,79.98
1056,805.8,850922,449.33,474490,2.06,26.03,0.94,79.99
1052,801.55,843235,451.98,475482,2.06,26.01,0.94,79.99
1053,800.52,842951,451.55,475484,2.05,26.02,0.94,80.0
1058,802.24,848775,449.49,475557,2.05,26.01,0.94,80.0
1050,801.16,841221,452.95,475596,2.06,26.05,0.94,79.99
1054,804.41,847844,450.31,474628,2.06,26.02,0.94,79.99
1048,802.55,841069,453.0,474748,2.06,25.96,0.94,80.0
1059,801.21,848483,449.67,476198,2.05,26.02,0.94,79.99
1063,802.02,852551,447.37,475550,2.05,26.09,0.93,80.0
1057,802.44,848177,449.95,475597,2.05,26.03,0.94,79.99
1045,799.0,834956,455.58,476086,2.05,25.98,0.95,80.0
1056,798.63,843354,451.58,476869,2.05,25.99,0.94,79.99
1061,792.58,840927,452.09,479665,2.04,26.01,0.93,79.98
1065,797.69,849536,449.04,478228,2.04,26.01,0.93,80.0
1067,795.68,848990,448.44,478489,2.04,26.03,0.93,79.99
1062,799.29,848849,449.11,476958,2.05,26.01,0.93,80.0
1054,798.67,841802,451.52,475904,2.05,26.05,0.94,80.0
1060,803.59,851810,448.18,475071,2.06,26.06,0.93,79.99
1054,797.42,840478,452.38,476811,2.05,26.03,0.94,80.0
1058,804.96,851644,448.6,474614,2.06,26.03,0.94,79.99
1072,799.02,856554,445.96,478072,2.04,26.03,0.92,79.99
1078,789.73,851327,447.59,482501,2.03,26.01,0.92,79.99
1058,803.48,850082,449.09,475141,2.06,26.0,0.94,79.99
1058,800.07,846473,450.65,476789,2.05,26.03,0.94,79.99
1045,805.48,841724,452.69,473062,2.06,26.04,0.95,79.99
1052,803.07,844835,451.26,474724,2.06,26.11,0.94,79.99
1045,801.56,837627,454.48,474931,2.06,26.04,0.95,79.99
1035,802.76,830853,457.41,473420,2.06,26.0,0.96,79.99
1049,802.75,842085,453.16,475363,2.06,25.99,0.94,79.99
1055,798.09,841989,451.63,476468,2.05,26.06,0.94,80.0
1058,802.14,848662,450.12,476227,2.05,25.97,0.94,79.98
1067,798.61,852112,447.33,477297,2.04,26.04,0.93,80.0
1069,799.82,855011,447.22,478075,2.05,26.03,0.93,79.98
1041,802.25,835145,455.55,474226,2.06,26.01,0.95,79.99
1051,801.12,841972,452.19,475252,2.05,26.05,0.94,79.99
1067,794.45,847680,448.96,479044,2.04,26.05,0.93,80.0
1063,803.05,853637,447.82,476033,2.05,26.02,0.93,79.98
1060,801.45,849533,449.19,476141,2.05,26.02,0.93,79.99
1048,803.55,842117,452.53,474254,2.06,26.01,0.95,79.98
1070,796.56,852317,447.6,478930,2.04,25.99,0.93,79.99
1056,798.41,843118,451.13,476395,2.05,26.14,0.94,79.99
1051,802.79,843733,452.04,475091,2.06,26.02,0.94,79.99
1054,806.64,850199,449.94,474236,2.06,25.99,0.94,79.99
1069,800.21,855422,446.84,477669,2.05,26.0,0.93,79.98
1072,796.82,854191,446.91,479084,2.04,26.02,0.92,79.99
1066,797.39,850023,448.78,478403,2.04,25.99,0.93,79.99
1068,792.55,846442,449.14,479687,2.03,26.04,0.93,79.99
1053,803.54,846125,450.6,474479,2.06,26.03,0.94,80.0
1049,804.07,843467,452.38,474546,2.06,26.02,0.94,79.99
1064,802.34,853686,446.99,475597,2.05,26.09,0.93,79.99
1056,801.65,846541,450.59,475826,2.05,25.98,0.94,80.0
1053,799.77,842160,451.6,475536,2.05,26.05,0.94,80.0
1047,799.61,837189,454.16,475505,2.05,26.03,0.95,79.99
1066,797.51,850150,448.07,477638,2.04,26.03,0.93,80.0
1060,799.63,847609,450.09,477099,2.05,26.02,0.93,79.98
1061,793.93,842363,452.1,479678,2.04,25.98,0.93,80.0
1066,798.6,851305,448.29,477880,2.05,26.05,0.93,80.0
1052,799.26,840822,452.97,476527,2.05,26.0,0.94,79.99
1070,798.07,853938,447.04,478329,2.04,26.01,0.93,79.98
1053,803.7,846298,450.91,474811,2.06,25.99,0.94,80.0
1048,800.0,838397,453.8,475580,2.05,25.99,0.94,80.0
1056,807.5,852719,448.71,473834,2.06,25.98,0.94,80.0
1066,797.68,850329,448.72,478336,2.04,26.04,0.93,80.0
1044,805.85,841310,453.01,472937,2.06,26.04,0.95,79.98
1048,799.24,837605,454.72,476547,2.05,26.0,0.95,79.98
1056,803.11,848089,450.05,475254,2.06,25.97,0.94,79.99
1052,799.18,840742,452.93,476487,2.05,26.0,0.94,80.0
1066,798.43,851129,447.84,477393,2.04,26.05,0.93,79.98
1064,803.33,854747,447.06,475670,2.05,26.07,0.93,79.99
1063,798.87,849198,449.17,477466,2.05,25.99,0.93,79.99
1057,801.77,847470,450.19,475848,2.05,26.08,0.94,79.99
