Ciclo,peso_prom,peso_total,dist_prom,dist_total,corriente_prom,temp_prom,energia_consumida_prom,SOH%
1000,845.25,845247,461.95,461954,2.15,26.14,1.0,80.0
1000,851.08,851084,459.75,459754,2.16,26.07,1.0,80.0
1002,847.85,849549,460.4,461317,2.16,26.03,1.0,80.0
993,850.11,844161,462.91,459671,2.16,26.1,1.01,80.0
989,850.23,840876,464.33,459222,2.16,26.05,1.01,79.98
971,847.6,823020,472.46,458762,2.17,26.07,1.03,79.99
999,853.66,852807,459.32,458856,2.17,26.18,1.0,79.99
990,848.9,840413,464.59,459947,2.16,26.09,1.01,79.98
996,850.96,847558,461.4,459557,2.16,26.06,1.0,79.98
990,850.91,842402,463.95,459312,2.17,26.08,1.01,79.98
997,846.79,844249,462.45,461064,2.16,26.05,1.0,80.0
993,852.63,846660,461.85,458614,2.17,26.05,1.01,79.99
999,846.81,845962,461.96,461495,2.16,26.07,1.0,79.98
997,849.7,847155,461.39,460003,2.16,26.05,1.0,79.98
1000,849.77,849771,460.16,460162,2.16,26.05,1.0,79.99
991,853.04,845359,463.04,458870,2.17,26.11,1.01,79.98
987,851.04,839981,464.78,458738,2.17,26.06,1.01,79.99
993,849.95,844001,462.91,459672,2.16,26.08,1.01,79.98
993,851.44,845479,462.4,459165,2.17,26.06,1.01,80.0
985,851.41,838635,465.66,458675,2.17,26.1,1.02,79.99
995,852.67,848405,461.37,459061,2.17,26.09,1.01,79.99
986,854.35,842387,464.12,457625,2.17,26.04,1.01,79.99
989,849.84,840495,464.76,459647,2.16,26.06,1.01,79.98
994,849.42,844325,462.77,459996,2.16,26.11,1.01,79.99
998,848.91,847209,461.2,460282,2.16,26.08,1.0,79.99
989,856.64,847218,462.51,457418,2.18,26.05,1.01,79.98
980,845.88,828961,469.32,459931,2.16,26.09,1.02,79.99
999,849.19,848338,460.72,460259,2.16,26.0,1.0,80.0
996,843.21,839837,464.25,462388,2.15,26.09,1.0,79.99
992,850.31,843509,463.22,459518,2.16,26.08,1.01,79.99
1001,847.16,848010,460.79,461252,2.16,26.08,1.0,79.99
1000,849.14,849143,460.56,460557,2.16,26.07,1.0,79.99
989,849.6,840256,464.58,459467,2.16,26.1,1.01,79.98
999,850.45,849602,460.31,459850,2.16,26.11,1.0,80.0
985,852.12,839334,464.83,457860,2.17,26.08,1.02,80.0
995,852.4,848140,461.24,458937,2.17,26.08,1.01,80.0
1005,848.07,852313,458.96,461257,2.16,26.12,1.0,80.0
1007,844.51,850418,459.65,462871,2.15,26.06,0.99,79.99
994,850.37,845270,462.54,459765,2.16,26.06,1.01,79.99
999,849.3,848455,461.04,460581,2.16,26.09,1.0,79.99
985,854.33,841516,464.84,457871,2.17,26.07,1.02,79.98
986,853.2,841258,464.42,457915,2.17,26.16,1.02,79.98
989,850.88,841519,464.52,459415,2.17,26.12,1.01,79.98
980,851.29,834269,467.44,458092,2.17,26.06,1.02,80.0
977,850.19,830639,469.25,458460,2.17,26.06,1.02,79.98
985,852.16,839382,465.58,458599,2.17,26.08,1.02,79.97
992,849.05,842261,463.7,459994,2.16,26.09,1.01,79.98
997,851.78,849223,461.06,459677,2.16,26.05,1.0,79.98
1001,848.91,849762,460.05,460510,2.16,26.09,1.0,79.99
999,849.79,848938,460.84,460381,2.16,26.08,1.0,79.99
980,852.86,835804,466.93,457589,2.17,26.07,1.02,79.99
989,847.36,838044,465.21,460092,2.16,26.1,1.01,80.0
1000,849.2,849196,460.49,460489,2.16,26.11,1.0,79.99
