,Caso,Peso_kg,Distancia_m,Vida_util_horas
0,Distancia corta - Peso bajo,156.7551811597449,112.00727559285136,4990.201960034661
1,Distancia corta - Peso bajo,172.61645927972702,103.34610919763216,4887.89903001047
2,Distancia corta - Peso bajo,229.18344826632026,139.38925830509578,4852.877977674132
3,Distancia corta - Peso bajo,214.15566093378237,128.8597211224531,5017.0428328553935
4,Distancia corta - Peso bajo,171.21934517956925,65.16748797327512,4945.914926434349
5,Distancia corta - Peso bajo,297.30304975859593,81.17220677955483,5295.689674315922
6,Distancia corta - Peso bajo,221.15496387137745,74.84891398144657,4465.889922551476
7,Distancia corta - Peso bajo,147.4453583471989,124.3946292572677,5215.094532975227
8,Distancia corta - Peso bajo,120.35649452408074,53.35324347357794,5246.984865133876
9,Distancia corta - Peso bajo,130.57182783686642,106.98896848713164,4582.50746435292
10,Distancia corta - Peso bajo,149.19154567690163,126.24586857406905,4928.214641050185
11,Distancia corta - Peso bajo,132.13627465191115,137.67656367617496,4922.628370171653
12,Distancia corta - Peso bajo,137.31340481026115,84.20817487159076,4715.764294585309
13,Distancia corta - Peso bajo,157.01903373876942,132.12573046720127,4841.024371132005
14,Distancia corta - Peso bajo,134.67471905895096,61.063173695520724,4775.376204731386
15,Distancia corta - Peso bajo,279.35308492528503,134.6452291734518,5345.186630577457
16,Distancia corta - Peso bajo,116.04674913232844,62.74886623319824,5184.892986462642
17,Distancia corta - Peso bajo,204.90227791405093,89.72872905603673,5250.519654997674
18,Distancia corta - Peso bajo,182.0793653979323,129.72953657795534,5140.565386035054
19,Distancia corta - Peso bajo,296.4757233817213,64.99174273487738,4769.22257596395
20,Distancia corta - Peso bajo,122.40778043361047,72.92513952326415,4892.676428921355
21,Distancia corta - Peso bajo,179.57111980914834,122.22525683930662,5094.203543393732
22,Distancia corta - Peso bajo,293.8940866550738,122.00365365460743,4750.189997692548
23,Distancia corta - Peso bajo,273.10142517879603,114.11476328852973,5137.590246550488
24,Distancia corta - Peso bajo,263.41441418985596,119.39484444671,4947.028545399952
25,Distancia corta - Peso bajo,151.58056540898798,104.27244433475963,4921.9279504542665
26,Distancia corta - Peso bajo,134.17751747801316,75.17990589069527,5139.577891631403
27,Distancia corta - Peso bajo,233.7286439848862,84.56959935039194,5084.670175842632
28,Distancia corta - Peso bajo,285.87519782551715,68.15977168014257,4922.97336069536
29,Distancia corta - Peso bajo,211.35257860278597,140.84505613336285,5227.568911544741
30,Distancia corta - Peso bajo,214.32253789397998,108.33917947661205,4779.705782975799
31,Distancia corta - Peso bajo,155.99581873205682,90.08514167636399,5120.126502974461
32,Distancia corta - Peso bajo,253.89858663838737,96.20058036441327,5114.042168151185
33,Distancia corta - Peso bajo,137.40874971150467,144.72833396118153,4934.87175421984
34,Distancia corta - Peso bajo,164.73584728084873,65.33514031160801,5062.232885616719
35,Distancia corta - Peso bajo,185.08728772328334,108.62298320167972,4746.131991541477
36,Distancia corta - Peso bajo,201.522075736891,100.5888678884466,5180.97786176222
37,Distancia corta - Peso bajo,148.48194648301603,111.14542354346477,4959.90318012581
38,Distancia corta - Peso bajo,122.96736494784071,51.81101838208405,4893.196397274918
39,Distancia corta - Peso bajo,222.12400848832652,137.21239089441514,5205.3722859128975
40,Distancia corta - Peso bajo,157.72611064805116,143.21182824836126,4855.619675605741
41,Distancia corta - Peso bajo,216.24764428452244,106.51331835892088,4714.211919516149
42,Distancia corta - Peso bajo,130.87254305484046,119.66508238768922,4685.753756490296
43,Distancia corta - Peso bajo,196.2280203709635,142.24993811772958,5117.120570458622
44,Distancia corta - Peso bajo,206.51788651031717,120.72386343133986,4739.850570295638
45,Distancia corta - Peso bajo,110.36470736448538,65.25390429142614,5348.781334552074
46,Distancia corta - Peso bajo,167.3208556387841,107.62883601668132,4580.24327490054
47,Distancia corta - Peso bajo,126.88293538779484,110.6715046382856,5336.502657590085
48,Distancia corta - Peso bajo,112.67499409455355,92.4130671302386,5039.774063992064
49,Distancia corta - Peso bajo,297.99204647798905,123.64442356247228,4975.198341540251
50,Distancia corta - Peso bajo,164.4707689949446,143.43670147690148,4887.40162749147
51,Distancia corta - Peso bajo,261.974889170927,142.55685129067763,5074.7571447225255
52,Distancia corta - Peso bajo,150.92813095275278,95.08393714041321,4989.448466053615
53,Distancia corta - Peso bajo,236.30054444478586,61.323804584075525,5216.62527779996
54,Distancia corta - Peso bajo,252.0455719779373,148.48411989623344,5017.876973193569
55,Distancia corta - Peso bajo,219.12774812156886,133.88980864459342,5025.702317601395
56,Distancia corta - Peso bajo,194.31523771003168,62.46626812032669,4923.863098846615
57,Distancia corta - Peso bajo,182.3681828294537,142.08418826173724,4984.738679007251
58,Distancia corta - Peso bajo,169.77365330859908,136.98963620621282,5057.917831889134
59,Distancia corta - Peso bajo,285.9058288495652,101.88380571260721,4652.862663590231
60,Distancia corta - Peso bajo,266.1238815575458,109.12754357449293,4725.498037006899
61,Distancia corta - Peso bajo,293.00538213330253,89.90027038701302,5143.538535909447
62,Distancia corta - Peso bajo,124.85944469710894,55.47616388220313,5031.8563866440745
63,Distancia corta - Peso bajo,246.17349504072885,83.51972416459009,4958.842572510536
64,Distancia corta - Peso bajo,287.66809136420756,130.28534485980114,4998.329482483738
65,Distancia corta - Peso bajo,136.24661323313202,50.46320230046029,5067.068936255434
66,Distancia corta - Peso bajo,113.29925347335549,83.34991716911442,4889.681775798675
67,Distancia corta - Peso bajo,248.22412985801182,89.81686935909434,4839.8971580167945
68,Distancia corta - Peso bajo,214.8946226359824,103.7395602937923,5035.115715197647
69,Distancia corta - Peso bajo,268.3657553516544,141.98556164127604,4799.164073653589
70,Distancia corta - Peso bajo,127.9544753252579,84.63459943659612,5079.0541572175225
71,Distancia corta - Peso bajo,259.05346237197807,84.69532018962278,4654.919914655336
72,Distancia corta - Peso bajo,140.3254640095489,123.75012481097484,5202.736244506498
73,Distancia corta - Peso bajo,132.7311885731409,95.22179408898072,5091.7667543013
74,Distancia corta - Peso bajo,132.8531595861986,72.4604822939982,5048.63346561063
75,Distancia corta - Peso bajo,262.91494404627645,95.24395161326933,5191.832521015503
76,Distancia corta - Peso bajo,233.03944413924003,64.08570203797998,5329.086611614122
77,Distancia corta - Peso bajo,204.61308495382386,67.63869865062233,5199.263707140113
78,Distancia corta - Peso bajo,171.7660968247005,99.83677727394797,4628.449968063109
79,Distancia corta - Peso bajo,275.44010816262164,91.89254495045479,4739.217864670816
80,Distancia corta - Peso bajo,178.4890214845271,141.48459010681,4871.227072417742
81,Distancia corta - Peso bajo,263.31988789431546,86.23938991166331,5000.578496604459
82,Distancia corta - Peso bajo,187.82698171404368,108.05883502780435,5099.849928687891
